Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
The Irishman,2019,"Biography, Crime, Drama",7.9,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",324720,7000000.0,Average,,,0.4939,Positive
Un prophète,2009,"Crime, Drama",7.9,A young Arab man is sent to a French prison.,93560,2084637.0,Average,,,-0.5106,Negative
Moon,2009,"Drama, Mystery, Sci-Fi",7.9,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",335152,5009677.0,Average,,,-0.4019,Negative
Låt den rätte komma in,2008,"Crime, Drama, Fantasy",7.9,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",205609,2122065.0,Average,,,0.2846,Positive
District 9,2009,"Action, Sci-Fi, Thriller",7.9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,638202,115646235.0,Hit,,,-0.7717,Negative
The Wrestler,2008,"Drama, Sport",7.9,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",289415,26236603.0,Average,,,-0.4497,Negative
Jab We Met,2007,"Comedy, Drama, Romance",7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,47720,410800.0,Average,,,-0.2023,Negative
Boyhood,2014,Drama,7.9,"The life of Mason, from early childhood to his arrival at college.",335533,25379975.0,Average,,,0.0,Neutral
"4 luni, 3 saptamâni si 2 zile",2007,Drama,7.9,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,56625,1185783.0,Average,,,-0.1027,Negative
Star Trek,2009,"Action, Adventure, Sci-Fi",7.9,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,577336,257730019.0,Hit,,,-0.34,Negative
In Bruges,2008,"Comedy, Crime, Drama",7.9,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",390334,7757130.0,Average,,,-0.4019,Negative
Letters from Iwo Jima,2006,"Action, Adventure, Drama",7.9,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",154011,13756082.0,Average,,,-0.7184,Negative
The Fall,2006,"Adventure, Drama, Fantasy",7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",107290,2280348.0,Average,,,0.6444,Positive
Life of Pi,2012,"Adventure, Drama, Fantasy",7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",580708,124987023.0,Hit,,,-0.5574,Negative
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,199696,21002919.0,Average,,,0.4019,Positive
Les choristes,2004,"Drama, Music",7.9,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,57430,3635164.0,Average,,,0.1027,Positive
Iron Man,2008,"Action, Adventure, Sci-Fi",7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",939644,318412101.0,Hit,,,-0.7096,Negative
Shaun of the Dead,2004,"Comedy, Horror",7.9,A man's uneventful life is disrupted by the zombie apocalypse.,512249,13542874.0,Average,,,0.0,Neutral
Mystic River,2003,"Crime, Drama, Mystery",7.9,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,419420,90135191.0,Average,,,-0.6597,Negative
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",552493,249358727.0,Hit,,,-0.875,Negative
Ying xiong,2002,"Action, Adventure, History",7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",173999,53710019.0,Average,,,0.6369,Positive
Hable con ella,2002,"Drama, Mystery, Romance",7.9,Two men share an odd friendship while they care for two women who are both in deep comas.,104691,9284265.0,Average,,,0.7184,Positive
No Man's Land,2001,"Comedy, Drama, War",7.9,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",44618,1059830.0,Average,,,-0.9274,Negative
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",42897,1000045.0,Average,,,-0.6908,Negative
The Bourne Identity,2002,"Action, Mystery, Thriller",7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",508771,121661683.0,Hit,,,-0.4767,Negative
Nueve reinas,2000,"Crime, Drama, Thriller",7.9,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",49721,1221261.0,Average,,,-0.5267,Negative
Children of Men,2006,"Adventure, Drama, Sci-Fi",7.9,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",465113,35552383.0,Average,,,0.0772,Positive
Almost Famous,2000,"Adventure, Comedy, Drama",7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,252586,32534850.0,Average,,,0.25,Positive
Mulholland Dr.,2001,"Drama, Mystery, Thriller",7.9,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",322031,7220243.0,Average,,,-0.0516,Negative
Toy Story 2,1999,"Animation, Adventure, Comedy",7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",527512,245852179.0,Hit,,,0.7506,Positive
Boogie Nights,1997,Drama,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",239473,26400640.0,Average,,,0.9042,Positive
Once Were Warriors,1994,"Crime, Drama",7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,31590,2201126.0,Average,,,-0.765,Negative
True Romance,1993,"Crime, Drama, Romance",7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",206918,12281500.0,Average,,,-0.765,Negative
Trois couleurs: Bleu,1993,"Drama, Music, Mystery",7.9,A woman struggles to find a way to live her life after the death of her husband and child.,89836,1324974.0,Average,,,-0.7506,Negative
Carlito's Way,1993,"Crime, Drama, Thriller",7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",201000,36948322.0,Average,,,-0.5591,Negative
Edward Scissorhands,1990,"Drama, Fantasy, Romance",7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",447368,56362352.0,Average,,,0.0,Neutral
My Left Foot: The Story of Christy Brown,1989,"Biography, Drama",7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",68076,14743391.0,Average,,,0.0,Neutral
Crimes and Misdemeanors,1989,"Comedy, Drama",7.9,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,54670,18254702.0,Average,,,-0.34,Negative
The Untouchables,1987,"Crime, Drama, Thriller",7.9,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",281842,76270454.0,Average,,,0.5106,Positive
Hannah and Her Sisters,1986,"Comedy, Drama",7.9,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",67176,40084041.0,Average,,,0.6369,Positive
Brazil,1985,"Drama, Sci-Fi",7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,187567,9929135.0,Average,,,-0.2023,Negative
This Is Spinal Tap,1984,"Comedy, Music",7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",128812,188751.0,Average,,,0.0,Neutral
A Christmas Story,1983,"Comedy, Family",7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",132947,20605209.0,Average,,,0.7553,Positive
The Blues Brothers,1980,"Action, Adventure, Comedy",7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",183182,57229890.0,Average,,,-0.0258,Neutral
Manhattan,1979,"Comedy, Drama, Romance",7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,131436,45700000.0,Average,,,0.8555,Positive
All That Jazz,1979,"Drama, Music, Musical",7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",28223,37823676.0,Average,,,0.0,Neutral
Dawn of the Dead,1978,"Action, Adventure, Horror",7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",111512,5100000.0,Average,,,-0.6486,Negative
All the President's Men,1976,"Biography, Drama, History",7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",103031,70600000.0,Average,,,-0.6249,Negative
La montaña sagrada,1973,"Adventure, Drama, Fantasy",7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",37183,61001.0,Average,,,0.6908,Positive
Le charme discret de la bourgeoisie,1972,Comedy,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",38737,198809.0,Average,,,0.128,Positive
Patton,1970,"Biography, Drama, War",7.9,The World War II phase of the career of controversial American general George S. Patton.,93741,61700000.0,Average,,,-0.6908,Negative
The Wild Bunch,1969,"Action, Adventure, Western",7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",77401,12064472.0,Average,,,0.0,Neutral
Night of the Living Dead,1968,"Horror, Thriller",7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,116557,89029.0,Average,,,0.6908,Positive
The Lion in Winter,1968,"Biography, Drama, History",7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",29003,22276975.0,Average,,,-0.2919,Negative
In the Heat of the Night,1967,"Crime, Drama, Mystery",7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,67804,24379978.0,Average,,,-0.8074,Negative
Charade,1963,"Comedy, Mystery, Romance",7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,68689,13474588.0,Average,,,-0.1027,Negative
Spartacus,1960,"Adventure, Biography, Drama",7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,124339,30000000.0,Average,,,-0.5994,Negative
Hiroshima mon amour,1959,"Drama, Romance",7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,28421,88300.0,Average,,,-0.4019,Negative
The Ten Commandments,1956,"Adventure, Drama",7.9,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",63560,93740000.0,Average,,,0.7506,Positive
High Noon,1952,"Drama, Thriller, Western",7.9,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",97222,9450000.0,Average,,,-0.6083,Negative
Strangers on a Train,1951,"Crime, Film-Noir, Thriller",7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,123341,7630000.0,Average,,,-0.6908,Negative
Miracle on 34th Street,1947,"Comedy, Drama, Family",7.9,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",41625,2650000.0,Average,,,-0.4404,Negative
Notorious,1946,"Drama, Film-Noir, Romance",7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,92306,10464000.0,Average,,,0.4767,Positive
The Big Sleep,1946,"Crime, Film-Noir, Mystery",7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",78796,6540000.0,Average,,,0.25,Positive
The Lost Weekend,1945,"Drama, Film-Noir",7.9,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,33549,9460000.0,Average,,,-0.3182,Negative
His Girl Friday,1940,"Comedy, Drama, Romance",7.9,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,53667,296000.0,Average,,,-0.0516,Negative
The Adventures of Robin Hood,1938,"Action, Adventure, Romance",7.9,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",47175,3981000.0,Average,,,-0.5106,Negative
A Night at the Opera,1935,"Comedy, Music, Musical",7.9,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,30580,2537520.0,Average,,,0.4939,Positive
King Kong,1933,"Adventure, Horror, Sci-Fi",7.9,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,78991,10000000.0,Average,,,-0.34,Negative
Forushande,2016,Drama,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",51240,2402067.0,Average,,,-0.8957,Negative
Dunkirk,2017,"Action, Drama, History",7.8,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",555092,188373161.0,Hit,,,-0.7579,Negative
Hidden Figures,2016,"Biography, Drama, History",7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,200876,169607287.0,Hit,,,0.296,Positive
Paddington 2,2017,"Adventure, Comedy, Family",7.8,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",61594,40442052.0,Average,,,0.8176,Positive
Kubo and the Two Strings,2016,"Animation, Action, Adventure",7.8,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,118035,48023088.0,Average,,,-0.5423,Negative
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,40416,1782795.0,Average,,,0.0,Neutral
Manchester by the Sea,2016,Drama,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,246963,47695120.0,Average,,,-0.0258,Neutral
Under sandet,2015,"Drama, History, War",7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",35539,435266.0,Average,,,-0.3818,Negative
Rogue One,2016,"Action, Adventure, Sci-Fi",7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,556608,532177324.0,Hit,,,-0.8591,Negative
Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,663649,408084349.0,Hit,,,0.0,Neutral
The Hateful Eight,2015,"Crime, Drama, Mystery",7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",517059,54117416.0,Average,,,-0.8316,Negative
Little Women,2019,"Drama, Romance",7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",143250,108101214.0,Hit,,,0.6908,Positive
Loving Vincent,2017,"Animation, Biography, Crime",7.8,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",50778,6735118.0,Average,,,-0.4588,Negative
Le passé,2013,"Drama, Mystery",7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",45002,1330596.0,Average,,,-0.2263,Negative
La grande bellezza,2013,Drama,7.8,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",81125,2852400.0,Average,,,0.6808,Positive
The Lunchbox,2013,"Drama, Romance",7.8,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,50523,4231500.0,Average,,,0.0772,Positive
Vicky Donor,2012,"Comedy, Romance",7.8,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",39710,169209.0,Average,,,0.0,Neutral
Big Hero 6,2014,"Animation, Action, Adventure",7.8,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",410983,222527828.0,Hit,,,0.8442,Positive
About Time,2013,"Comedy, Drama, Fantasy",7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",303032,15322921.0,Average,,,0.7003,Positive
English Vinglish,2012,"Comedy, Drama, Family",7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",33618,1670773.0,Average,,,0.0772,Positive
Kaze tachinu,2013,"Animation, Biography, Drama",7.8,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",73690,5209580.0,Average,,,-0.5106,Negative
Toy Story 4,2019,"Animation, Adventure, Comedy",7.8,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",203177,434038008.0,Hit,,,0.4767,Positive
La migliore offerta,2013,"Crime, Drama, Mystery",7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,108399,85433.0,Average,,,-0.1531,Negative
Moonrise Kingdom,2012,"Comedy, Drama, Romance",7.8,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",318789,45512466.0,Average,,,0.8126,Positive
How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",305611,177002924.0,Hit,,,0.6369,Positive
The Big Short,2015,"Biography, Comedy, Drama",7.8,In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,362942,70259870.0,Average,,,0.0,Neutral
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,111252,128392.0,Average,,,-0.8271,Negative
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",423010,102515793.0,Hit,,,-0.296,Negative
Captain Phillips,2013,"Adventure, Biography, Crime",7.8,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",421244,107100855.0,Hit,,,0.4215,Positive
Ajeossi,2010,"Action, Crime, Drama",7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,62848,6460.0,Average,,,0.296,Positive
Straight Outta Compton,2015,"Biography, Drama, History",7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",179264,161197785.0,Hit,,,0.0,Neutral
Madeo,2009,"Crime, Drama, Mystery",7.8,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,52758,547292.0,Average,,,-0.9517,Negative
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",601408,258366855.0,Hit,,,0.0516,Positive
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",7.8,"Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",68715,2222647.0,Average,,,-0.765,Negative
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,208994,10095170.0,Average,,,-0.8625,Negative
The Fighter,2010,"Biography, Drama, Sport",7.8,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",340584,93617009.0,Average,,,-0.6181,Negative
Taken,2008,"Action, Thriller",7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",564791,145000989.0,Hit,,,0.4939,Positive
The Boy in the Striped Pyjamas,2008,"Drama, History, War",7.8,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",190748,9030581.0,Average,,,0.4215,Positive
Once,2007,"Drama, Music, Romance",7.8,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",110656,9439923.0,Average,,,0.6369,Positive
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",757377,303003568.0,Hit,,,-0.296,Negative
Auf der anderen Seite,2007,Drama,7.8,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,30827,741283.0,Average,,,0.0,Neutral
Atonement,2007,"Drama, Mystery, Romance",7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,251370,50927067.0,Average,,,-0.4567,Negative
Drive,2011,"Crime, Drama",7.8,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,571571,35061555.0,Average,,,-0.0258,Neutral
American Gangster,2007,"Biography, Crime, Drama",7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",392449,130164645.0,Hit,,,0.34,Positive
Avatar,2009,"Action, Adventure, Fantasy",7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1118998,760507625.0,Hit,,,-0.25,Negative
Mr. Nobody,2009,"Drama, Fantasy, Romance",7.8,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",216421,3600.0,Average,,,-0.0516,Negative
Apocalypto,2006,"Action, Adventure, Drama",7.8,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",291018,50866635.0,Average,,,-0.4939,Negative
Little Miss Sunshine,2006,"Comedy, Drama",7.8,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,439856,59891098.0,Average,,,0.7351,Positive
Hot Fuzz,2007,"Action, Comedy, Mystery",7.8,A skilled London police officer is transferred to a small town with a dark secret.,463466,23637265.0,Average,,,0.0,Neutral
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",589160,127509326.0,Hit,,,0.0,Neutral
Veer-Zaara,2004,"Drama, Family, Musical",7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",49050,2921738.0,Average,,,0.9432,Positive
Adams æbler,2005,"Comedy, Crime, Drama",7.8,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,45717,1305.0,Average,,,0.2732,Positive
Pride & Prejudice,2005,"Drama, Romance",7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",258924,38405088.0,Average,,,0.7876,Positive
The World's Fastest Indian,2005,"Biography, Drama, Sport",7.8,"The story of New Zealander Burt Munro, who spent years rebuilding a 1920 Indian motorcycle, which helped him set the land speed world record at Utah's Bonneville Salt Flats in 1967.",51980,5128124.0,Average,,,0.0,Neutral
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",31658,128985.0,Average,,,0.0,Neutral
Serenity,2005,"Action, Adventure, Sci-Fi",7.8,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,283310,25514517.0,Average,,,0.0,Neutral
Walk the Line,2005,"Biography, Drama, Music",7.8,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",234207,119519402.0,Hit,,,0.4404,Positive
Ondskan,2003,Drama,7.8,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",35682,15280.0,Average,,,-0.8176,Negative
The Notebook,2004,"Drama, Romance",7.8,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",520284,81001787.0,Average,,,0.81,Positive
Diarios de motocicleta,2004,"Adventure, Biography, Drama",7.8,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,96703,16756372.0,Average,,,0.0,Neutral
Lilja 4-ever,2002,"Crime, Drama",7.8,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",42673,181655.0,Average,,,0.8834,Positive
Les triplettes de Belleville,2003,"Animation, Comedy, Drama",7.8,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",50622,7002255.0,Average,,,0.765,Positive
The Count of Monte Cristo,2002,"Action, Adventure, Drama",7.8,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",129022,54234062.0,Average,,,-0.7717,Negative
Waking Life,2001,"Animation, Drama, Fantasy",7.8,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,60684,2892011.0,Average,,,0.25,Positive
